name	name2	strand	txStart	txEnd
NM_013518	Fgf9	+	58691522	58731557
NM_001270842	Gm3558	-	8377664	8401080
NM_011821	Gpc6	+	117324518	118378751
NM_001079844	Gpc6	+	117324518	118378751
NM_027581	Lrrc63	-	75484109	75530690
NM_008981	Ptprg	+	12386066	13074553
NM_001308286	Fhit	-	10382607	11285972
NM_010210	Fhit	-	10382607	11994549
NM_001042617	Cadps	-	13205076	13655593
NM_001195229	Nek10	+	15653328	15839207
NM_012061	Cadps	-	13205076	13655593
NM_028934	4930452B06Rik	-	9263685	9498804
NM_001308285	Fhit	-	10382607	11994549
NM_001289761	Rarb	-	17263353	17914845
NM_001289760	Rarb	-	17263353	17914845
NM_028275	1700112E06Rik	+	22838933	23875310
NM_001243041	Adk	+	21895373	22267791
NM_134079	Adk	+	21871795	22267791
NM_177111	Ccdc66	-	28295595	28321646
NM_032008	Slmap	-	27232653	27354110
NM_001310445	Slmap	-	27232653	27354110
NM_008734	Nrg3	-	39182136	40286376
NM_027045	Ccser2	-	37688121	37781950
NM_028407	Ccser2	-	37688121	37748754
NM_008166	Grid1	+	35633321	36394301
NM_001190188	Nrg3	-	39182136	40286376
NM_001190187	Nrg3	-	39182136	40286376
NM_146054	Fermt2	-	46078466	46149740
NM_001286483	Otx2	-	49277351	49284784
NM_001286482	Otx2	-	49277351	49287319
NM_001286481	Otx2	-	49277351	49287319
NM_001271623	Gja3	-	57653296	57676560
NM_016975	Gja3	-	57653296	57676867
NM_010856	Myh6	-	55560757	55585444
NM_001164171	Myh6	-	55560757	55585444
NM_001253712	Msra	-	64741457	65059877
NM_011892	Sgcg	-	61837951	61877327
NM_001253716	Msra	-	64741457	65035793
NM_001253715	Msra	-	64741457	65059863
NM_001253714	Msra	-	64741457	65059863
NM_026322	Msra	-	64741457	65074740
NM_008115	Gfra2	+	71289913	71379647
NM_001302095	Gfra2	+	71289913	71379647
NM_001302094	Gfra2	+	71289913	71379647
NM_028560	Pebp4	+	70240213	70459725
NM_001253759	Enox1	+	77556569	78121570
NM_172813	Enox1	+	77556569	78121570
NM_025427	Rgcc	-	79688556	79701442
NM_001013753	Pcdh17	+	84843369	84936867
NM_007826	Dach1	-	98186064	98568984
NM_029320	Pibf1	+	99498642	99653713
NM_001038610	Dach1	-	98186064	98568984
NM_175499	Slitrk6	-	111147799	111154371
NM_175500	Gpc5	+	115491436	116924414
NM_015820	Hs6st3	+	119537486	120269037
NM_177393	Nalcn	-	123675862	124026366
NM_029556	Clybl	+	122580915	122801456
NM_207667	Fgf14	-	124377512	125076349
NM_134082	Farp1	+	121434795	121682948
NM_001256501	Gm10408	+	3794429	3804392
NM_001270806	Gm5795	+	3500848	3668655
NM_001270806	Gm5795	+	3740251	3906698
NM_001309398	2610042L04Rik	+	4437801	4457726
NM_001270812	LOC100861615	-	5468459	6240637
NM_001270812	LOC100861615	-	6653690	7119724
NM_001270812	LOC100861615	-	7915538	8007047
NM_025938	Rpp14	+	8912826	8924360
NM_001081427	Flnb	+	8650470	8784101
NM_134080	Flnb	+	8650470	8784101
NM_001163032	Synpr	+	14286471	14447983
NM_028052	Synpr	+	14117293	14447983
NM_001033270	Slc4a7	+	15535538	15632457
NM_146052	Lrrc3b	-	16190030	16271501
NM_011243	Rarb	-	17263353	17407990
NM_001289762	Rarb	-	17263353	17407990
NM_001113417	Thrb	+	18493473	18870602
NM_001285909	Gng2	-	20691780	20796471
NM_001285910	Gng2	-	20691780	20796471
NM_001038637	Gng2	-	20691780	20796471
NM_008695	Nid2	+	20570478	20631009
NM_010315	Gng2	-	20691780	20796471
NM_001285911	Gng2	-	20691780	20795915
NM_001285908	Gng2	-	20691780	20796471
NM_008914	Ppp3cb	-	21318585	21365795
NM_001168273	Sec24c	+	21493542	21514072
NM_029698	Cfap70	-	21213411	21271447
NM_001163638	Cfap70	-	21213411	21271447
NM_001163639	Cfap70	-	21213411	21271447
NM_172596	Sec24c	+	21493542	21514072
NM_001310427	Ppp3cb	-	21318585	21365795
NM_001310426	Ppp3cb	-	21318585	21365795
NM_017479	Kat6b	+	22319006	22491700
NM_001205241	Kat6b	+	22318991	22491700
NM_001253367	Kcnma1	-	24117915	24823427
NM_001163513	Dlg5	-	24953174	25065142
NM_027726	Dlg5	-	24953174	25065142
NM_001253362	Kcnma1	-	24117915	24823427
NM_001253368	Kcnma1	-	24125833	24823427
NM_001253377	Kcnma1	-	24117915	24823427
NM_010610	Kcnma1	-	24117915	24823427
NM_001253378	Kcnma1	-	24117915	24823427
NM_001253376	Kcnma1	-	24125833	24823427
NM_001253375	Kcnma1	-	24125833	24823427
NM_001253374	Kcnma1	-	24117915	24823427
NM_001253373	Kcnma1	-	24117915	24823427
NM_001253372	Kcnma1	-	24117915	24823427
NM_001253360	Kcnma1	-	24117915	24823427
NM_001253371	Kcnma1	-	24117915	24823427
NM_001253359	Kcnma1	-	24117915	24823427
NM_001253358	Kcnma1	-	24117915	24823427
NM_001253369	Kcnma1	-	24117915	24823427
NM_001253363	Kcnma1	-	24117915	24823427
NM_001253361	Kcnma1	-	24117915	24823427
NM_001253370	Kcnma1	-	24125833	24823427
NM_001253366	Kcnma1	-	24117915	24823427
NM_001253365	Kcnma1	-	24117915	24823427
NM_001253364	Kcnma1	-	24125833	24823427
NM_001270503	Plac9b	-	26986803	27001837
NM_183208	Zmiz1	+	26278670	26486229
NM_001310666	Zmiz1	+	26278670	26486229
NM_027871	Arhgef3	+	28051195	28217097
NM_001285466	Dennd6a	+	27393343	27453808
NM_001285467	Dennd6a	+	27393343	27453808
NM_134437	Il17rd	+	27852186	27920472
NM_001289688	Arhgef3	+	28174574	28217097
NM_001289687	Arhgef3	+	28149222	28217097
NM_001289686	Arhgef3	+	27957178	28217097
NM_133761	Dcp1a	+	31292750	31340242
NM_028981	Cacna1d	-	30853129	31304342
NM_001083616	Cacna1d	-	30853129	31166672
NM_027493	Actr8	+	30791522	30806407
NM_001302637	Cacna1d	-	30853129	31166672
NM_009937	Colq	-	32336269	32390569
NM_001033668	Dnah1	-	32073560	32137082
NM_138672	Stab1	-	31952202	31981827
NM_019460	Sfmbt1	+	31528034	31635907
NM_001166532	Sfmbt1	+	31528800	31635907
NM_001166531	Sfmbt1	+	31528352	31635907
NM_145460	Oxnad1	+	32898913	32916389
NM_011960	Parg	+	33015156	33110735
NM_153800	Arhgap22	+	34030008	34183122
NM_026253	Lrrc18	+	33804567	33828478
NM_001146021	Lrrc18	+	33804567	33822584
NM_016700	Mapk8	-	34191083	34260344
NM_001310454	Mapk8	-	34191084	34260344
NM_001310453	Mapk8	-	34191084	34260344
NM_001310452	Mapk8	-	34191084	34224210
NM_009758	Bmpr1a	-	35224253	35315732
NM_011918	Ldb3	-	35339884	35401867
NM_008133	Glud1	+	35123912	35158219
NM_001004436	Wapl	+	35487113	35561169
NM_001039076	Ldb3	-	35374439	35401867
NM_001039075	Ldb3	-	35374439	35401867
NM_001301330	Wapl	+	35487113	35561169
NM_001251843	A630023A22Rik	-	34864315	34915940
NM_001039074	Ldb3	-	35339884	35401793
NM_001039073	Ldb3	-	35339884	35401867
NM_001039072	Ldb3	-	35339884	35401867
NM_001039071	Ldb3	-	35339884	35401867
NM_001316733	Fam213a	-	41807023	41820209
NM_001316736	Fam213a	-	41807023	41820209
NM_001316739	Fam213a	-	41807023	41820209
NM_001316732	Fam213a	-	41807023	41821555
NM_001316740	Fam213a	-	41807023	41821555
NM_001316734	Fam213a	-	41807023	41827122
NM_001316735	Fam213a	-	41807023	41827122
NM_001316737	Fam213a	-	41807023	41827122
NM_027464	Fam213a	-	41807023	41827122
NM_027518	Gpr137c	+	45839391	45900651
NM_008964	Ptger2	+	45607785	45623495
NM_176845	Ddhd1	-	46212845	46277818
NM_001039106	Ddhd1	-	46212845	46277818
NM_001042719	Ddhd1	-	46212845	46277818
NM_001284399	Ddhd1	-	46212845	46277818
NM_001037221	Samd4	+	47502639	47725492
NM_028966	Samd4	+	47502639	47725492
NM_001163433	Samd4	+	47621014	47725492
NM_001146086	Fbxo34	+	48092235	48151637
NM_030236	Fbxo34	+	48092235	48151637
NM_001146085	Fbxo34	+	48092235	48151637
NM_001310544	Samd4	+	47688651	47725492
NM_033602	Peli2	+	48740543	48880558
NM_207214	Exoc5	-	49631818	49686342
NM_027492	Naa30	+	49791920	49810563
NM_020513	Olfr1508	-	53082395	53087136
NM_030686	Dhrs4	+	56097594	56106414
NM_026819	Dhrs1	-	56357856	56364521
NM_001037938	Dhrs4	+	56097594	56109177
NM_001040072	Nynrin	+	56472951	56493573
NM_001145978	Parp4	+	57194455	57278635
NM_144842	Zmym5	-	57409424	57430553
NM_001014996	Cenpj	-	57145597	57190683
NM_001253753	Zmym5	-	57409421	57430301
NM_001253752	Zmym5	-	57409421	57430553
NM_029498	Zmym2	+	57506631	57581416
NM_009376	Ift88	+	58042907	58136773
NM_029492	Zdhhc20	-	58451538	58509099
