name	name2	strand	txStart	txEnd
NM_177086	Zmat4	+	24780132	25173588
NM_053171	Csmd1	-	15892544	17535385
NM_001277239	Zmat4	+	24780132	25173588
NM_001037809	Cdh3	+	109034751	109080811
NM_019573	Wwox	+	116963551	117876612
NM_016925	Fanca	-	125792143	125842476
NM_001297596	Inpp4b	+	83866460	84651816
NM_001297591	Inpp4b	+	83866460	84646469
NM_001297593	Inpp4b	+	83866460	84651816
NM_007665	Cdh3	+	109034751	109080811
NM_001024617	Inpp4b	+	83866460	84646469
NM_001317391	Large	-	75338496	75877439
NM_010687	Large	-	75338496	75877439
NM_009025	Rasa3	-	13567217	13677587
NM_024248	Cars2	-	11514016	11550771
NM_001145965	Dlgap2	+	14095874	14847686
NM_172910	Dlgap2	+	14095874	14847686
NM_001277280	Ank1	+	24085307	24260969
NM_026792	Agpat5	+	18846278	18884413
NM_001110783	Ank1	+	24085307	24260969
NM_001194941	Dlc1	-	37630792	37796108
NM_001194940	Dlc1	-	37630792	38015496
NM_145841	Sgcz	-	38585607	39724562
NM_207213	Snx25	-	47118614	47209500
NM_001081286	Fat1	+	46035561	46137611
NM_175032	Galntl6	-	60252848	61390424
NM_175188	March1	+	68142423	68995536
NM_177698	Psd3	-	70212980	70498473
NM_027626	Psd3	-	70212980	70342194
NM_016708	Npy5r	-	69203863	69211993
NM_001166372	March1	+	68141938	68995536
NM_030263	Psd3	-	70212980	70434845
NM_133358	Zfp617	+	74446723	74458529
NM_020028	Lpar2	+	72346463	72355001
NM_001293784	March1	+	68141938	68995536
NM_183096	Ttc29	+	80737240	80918225
NM_001128171	Cyld	+	91220926	91275845
NM_001128170	Cyld	+	91220926	91275845
NM_001276279	Cyld	+	91220926	91275845
NM_001252059	Cacna1a	+	86939262	87164148
NM_001252061	Cacna1a	+	86939262	87164148
NM_001252060	Cacna1a	+	86939262	87164148
NM_007578	Cacna1a	+	86939262	87164148
NM_173369	Cyld	+	91220926	91275845
NM_001198894	Adgrg1	+	97501008	97538108
NM_001113384	Gnao1	+	96334737	96484594
NM_018882	Adgrg1	+	97508298	97538108
NM_010308	Gnao1	+	96334737	96493288
NM_007667	Cdh8	-	101552668	101940371
NM_001285913	Cdh8	-	101548370	101940371
NM_001285914	Cdh8	-	101548370	101940371
