name	name2	strand	txStart	txEnd
NM_001163510	Kcnn4	+	25155281	25170231
NM_008433	Kcnn4	+	25155281	25170231
NM_001013811	Fam169b	+	75418724	75507976
NM_001282088	Tomt	-	109048321	109052299
NM_001308095	Nadsyn1	-	150981496	151008757
NM_030221	Nadsyn1	-	150981496	151008757
NM_001081239	Lilra5	+	4189355	4195065
NM_001290453	Mzf1	-	13627651	13640113
NM_001290452	Mzf1	-	13627651	13640113
NM_145819	Mzf1	-	13627651	13640113
NM_001004194	Nlrp4e	+	24086210	24147296
NM_001033315	Hipk4	+	28308279	28316193
NM_027470	Pak4	-	29343837	29383203
NM_011274	Uri1	-	38745010	38804571
NM_001291182	Ush1c	-	53450720	53493860
NM_153677	Ush1c	-	53450720	53493860
NM_001163733	Ush1c	-	53450720	53493860
NM_023649	Ush1c	-	53450720	53493860
NM_001111016	Nav2	+	56214442	56865458
NM_175272	Nav2	+	56501558	56865458
NM_182993	Slc17a7	+	52419290	52431509
NM_008071	Gabrb3	+	64846542	65084171
NM_001038701	Gabrb3	+	64845887	65084171
NM_009728	Atp10a	+	65913571	66084796
NM_001291191	Mef2a	-	74376048	74517744
NM_007390	Chrna7	-	70243577	70357412
NM_001039104	Trpm1	+	71298720	71414645
NM_001033713	Mef2a	-	74376048	74517744
NM_001291192	Mef2a	-	74376048	74517744
NM_001291196	Mef2a	-	74376048	74517744
NM_001291195	Mef2a	-	74376048	74517744
NM_029332	Akap13	+	82600419	82899495
NM_007562	Bnc1	-	89111547	89137185
NM_009682	Ap3s2	-	87020210	87065526
NM_030728	Cemip	-	91081366	91235015
NM_001040085	Sytl2	+	97450864	97559229
NM_028343	Tmem135	-	96288230	96487297
NM_031394	Sytl2	+	97450864	97559229
NM_001289583	Sytl2	+	97450864	97559229
NM_011807	Dlg2	+	98239295	99597756
NM_001289584	Sytl2	+	97450864	97559229
NM_001310760	Tenm4	+	103360180	104059602
NM_011858	Tenm4	+	103359146	104059602
NM_023671	Clns1a	+	104845166	104869303
NM_001310762	Tenm4	+	103319753	104059602
NM_177073	Relt	-	107994361	108011927
NM_027587	Micalcl	+	119511821	119556618
NM_175645	Xylt1	+	124524492	124811144
NM_001277328	Sox6	-	122614385	122945123
NM_011445	Sox6	-	122614385	123138600
NM_001277326	Sox6	-	122614385	122989654
NM_001277327	Sox6	-	122614385	122968224
NM_001025560	Sox6	-	122614385	123174561
NM_001025559	Sox6	-	122614385	123182258
NM_011055	Pde3b	+	121558767	121681451
NM_177697	Vwa3a	+	127883070	127949054
NM_001101488	Gsg1l	-	133021932	133225925
NM_201601	Fgfr2	-	137305964	137410322
NM_010207	Fgfr2	-	137305964	137410322
NM_023566	Muc2	+	148876238	148940599
NM_001302546	Cfap46	-	146786813	146869714
NM_011095	Pirb	-	3664106	3671984
NM_133190	Cacng8	+	3394383	3415366
NM_001033383	Zfp865	+	4971977	4984825
NM_001277904	Tnnt1	-	4456171	4467577
NM_001277903	Tnnt1	-	4456171	4467577
NM_001163014	Gp6	-	4320314	4349346
NM_011618	Tnnt1	-	4456171	4467577
NM_001290426	Zfp865	+	4971977	4984825
NM_031389	Nlrp4c	+	5996762	6056751
NM_001290994	Usp29	+	6683293	6919930
NM_021323	Usp29	+	6683293	6919930
NM_001199310	Lig1	+	13862661	13896776
NM_001111296	Sult2a1	-	14381594	14422759
NM_001101534	Sult2a4	-	14495025	14574937
NM_001083188	Lig1	+	13864613	13896776
NM_010715	Lig1	+	13864174	13896776
NM_001184981	Sult2a7	-	15050507	15078275
NM_001081325	Sult2a6	-	14807751	14840219
NM_001252458	Prkd2	+	17428250	17455810
NM_001285891	Sae1	-	16905584	16973245
NM_178900	Prkd2	+	17428413	17455810
NM_001285892	Sae1	-	16905584	16973245
NM_172739	Arhgap35	-	17079821	17200342
NM_001310628	Psg16	+	17659388	17718799
NM_001029877	Nova2	+	19511236	19550668
NM_054058	Psg20	-	19259714	19271341
NM_001159724	Pvrl2	-	20309511	20334922
NM_016680	Clasrp	-	20166386	20189835
NM_008990	Pvrl2	-	20301992	20334922
NM_001270494	Gm6902	-	23498616	23685774
NM_001290461	Zfp428	+	25292105	25300701
NM_146183	Zfp428	+	25292105	25300701
NM_008488	Arhgef1	+	25688004	25711610
NM_001130150	Arhgef1	+	25688004	25711610
NM_001130152	Arhgef1	+	25689364	25711610
NM_175142	Zfp428	+	25292105	25300701
NM_008168	Grik5	-	25794869	25857388
NM_001130151	Arhgef1	+	25688004	25711610
NM_001130153	Arhgef1	+	25688004	25711610
NM_011577	Tgfb1	+	26472020	26490096
NM_007813	Cyp2b13	+	26846513	26881215
NM_010950	Numbl	+	28043779	28067169
NM_001199236	Sptbn4	-	28141401	28181572
NM_007817	Cyp2f2	+	27904973	27918679
NM_001199234	Sptbn4	-	28141401	28181217
NM_032610	Sptbn4	-	28141401	28231608
NM_001039192	Gmfg	+	29225955	29231914
NM_001037957	Dyrk1b	+	28964501	28972317
NM_022024	Gmfg	+	29222465	29231914
NM_028538	1700049G17Rik	-	28692410	28714449
NM_001271370	Dyrk1b	+	28965334	28972317
NM_001290550	Gmfg	+	29222465	29231914
NM_001290528	Map3k10	-	28441393	28459600
NM_010092	Dyrk1b	+	28964501	28972317
NM_010706	Lgals4	+	29618812	29626722
NM_001033525	Kcnk6	-	30006946	30017541
NM_009109	Ryr1	-	29788358	29910170
NM_146186	Wdr62	-	31025156	31065440
NM_001033355	Zfp568	+	30768973	30813301
NM_001167873	Zfp568	+	30768973	30813301
NM_001167872	Zfp568	+	30768973	30813301
NM_175140	Chst8	-	35459486	35597730
NM_008155	Gpi1	-	34986345	35015355
NM_008820	Pepd	+	35697425	35829727
NM_177739	Zfp507	-	36557368	36588008
NM_027897	Rhpn2	+	36119255	36177306
NM_023363	Zfp788	+	48888900	48906902
NM_001290316	Vsig10l	+	50718602	50727384
NM_146189	Mybpc2	-	51757068	51780039
NM_001114116	Syt3	+	51639495	51655400
NM_028021	Myh14	-	51861172	51920873
NM_001271540	Myh14	-	51861172	51926213
NM_001271538	Myh14	-	51861172	51920873
NM_001077264	Ap2a1	-	52155742	52184860
NM_007458	Ap2a1	-	52155742	52184860
NM_175022	Prr12	-	52283076	52308251
NM_016663	Syt3	+	51639495	51655400
NM_025330	Hsd17b14	+	52810297	52822691
NM_030678	Gys1	+	52690208	52711987
NM_175130	Trpm4	-	52558524	52589150
NM_153419	Grwd1	-	53080592	53086159
NM_013789	Sergef	-	53698528	53895177
NM_001198841	Csrp3	-	56085767	56103421
NM_013808	Csrp3	-	56085767	56099041
NM_205810	Mrgprb1	-	55699482	55711712
NM_001146053	Htatip2	+	57014475	57029369
NM_001146052	Htatip2	+	57014881	57029369
NM_001146050	Htatip2	+	57014475	57029369
NM_001146049	Htatip2	+	57014475	57029369
NM_016865	Htatip2	+	57014475	57029369
NM_001271879	Ano5	+	58766398	58854077
NM_177694	Ano5	+	58766398	58854077
NM_178705	Luzp2	+	62090614	62524258
NM_010418	Herc2	+	63305524	63487168
NM_001164661	Cyfip1	+	63097440	63188003
NM_001164662	Cyfip1	+	63097440	63188003
NM_011370	Cyfip1	+	63097440	63188003
NM_001082962	Snrpn	-	67127387	67285105
NM_001082961	Snrpn	-	67127387	67242494
NM_021366	Klf13	-	71031236	71083801
NM_001291167	Apba2	+	71647023	71898762
NM_001291166	Apba2	+	71647023	71898762
NM_007461	Apba2	+	71646591	71898762
NM_172742	Mtmr10	+	71432555	71485692
NM_183087	Fam189a1	-	71900981	72301414
NM_011048	Pcsk6	+	73007021	73195272
NM_001291184	Pcsk6	+	73007021	73195272
NM_009386	Tjp1	-	72441050	72516130
NM_001163574	Tjp1	-	72441050	72516130
NM_146191	Lrrk1	-	73403632	73533227
NM_080443	Asb7	-	73789456	73834447
NM_001164201	Cers3	+	73888389	73968578
NM_001033877	Adamts17	+	73984620	74297511
NM_001168476	Ttc23	+	74792295	74871462
NM_001168475	Ttc23	+	74792295	74871462
NM_025905	Ttc23	+	74792295	74871462
NM_175124	Lrrc28	-	74658295	74790122
NM_010513	Igf1r	+	75097142	75378553
NM_025549	Arrdc4	-	75886478	75894124
NM_001042592	Arrdc4	-	75881879	75894124
NM_001081345	Chd2	-	80571537	80686632
NM_009181	St8sia2	-	81084005	81158568
NM_001038643	Slco3a1	-	81420303	81699666
