name	name2	strand	txStart	txEnd
NM_001289530	Adarb2	+	8202111	8759688
NM_052977	Adarb2	+	8202111	8759688
NM_177577	Dcdc2a	+	25147872	25302575
NM_001195617	Dcdc2a	+	25147872	25213390
NM_029001	Elovl7	+	109004597	109077301
NM_009027	Rasgrf2	-	92020011	92901449
NM_013778	Akr1c13	+	4190432	4204849
NM_001081426	Dip2c	+	9275770	9668172
NM_008130	Gli3	+	15555555	15821858
NM_133643	Edaradd	-	12563475	12612717
NM_027118	Cdk13	-	17807795	17896931
NM_026825	Lrrc16a	-	24104352	24372659
NM_001081058	Cdk13	-	17807795	17896931
NM_012054	Aoah	+	20885981	21116123
NM_172120	Vps41	+	18809160	18958680
NM_001311122	Lrrc16a	-	24104349	24372659
NM_001302636	Phactr1	+	42961615	43233881
NM_001302635	Phactr1	+	42776167	43233881
NM_025900	Dek	-	47180135	47201589
NM_001005740	Phactr1	+	42804949	43233881
NM_001166466	Spock1	-	57527451	58009693
NM_001166464	Spock1	-	57522555	58009693
NM_009262	Spock1	-	57527451	58009693
NM_001166465	Spock1	-	57522555	58009693
NM_001166463	Spock1	-	57527451	58009693
NM_023507	Ercc6l2	+	63916641	63970963
NM_027307	Golm1	-	59736356	59777145
NM_001285917	Dapk1	+	60703307	60864552
NM_001035122	Golm1	-	59736356	59777145
NM_029653	Dapk1	+	60703307	60864552
NM_134062	Dapk1	+	60703571	60864552
NM_011051	Pdcd6	-	74440568	74454774
NM_018885	Irx4	+	73397944	73407068
NM_001145676	2210408I21Rik	+	77274796	77752940
NM_030174	Mctp1	+	76522408	77171071
NM_025770	Atg10	-	91074953	91363592
NM_001037987	Edil3	+	88961076	89462830
NM_010103	Edil3	+	88961076	89462830
NM_028012	Xrcc4	-	89988518	90229213
NM_178716	Tnpo1	-	99612035	99696339
NM_001048267	Tnpo1	-	99612035	99660997
NM_010170	F2rl2	+	96466874	96472723
NM_027711	Iqgap2	-	96397131	96661877
NM_175171	Mast4	-	103522568	104124572
NM_011056	Pde4d	+	109444370	110746177
NM_010408	Hcn1	+	118391126	118769835
NM_008002	Fgf10	+	119503505	119581380
NM_008112	Gdi2	+	3537320	3565507
NM_001033879	Tubal3	+	3923940	3934523
NM_144516	Zmynd11	-	9684081	9764560
NM_001199141	Zmynd11	-	9684081	9764560
NM_033269	Chrm3	-	9875858	10360049
NM_001081128	Mtr	-	12278806	12350380
NM_023868	Ryr2	-	11645369	12199212
NM_010317	Gng4	+	13876573	13920162
NM_198122	Arid4b	+	14156050	14291870
NM_010748	Lyst	+	13682675	13869707
NM_001302997	Gng4	+	13876325	13920162
NM_001081348	Hecw1	-	14318704	14615493
NM_194262	Arid4b	+	14156050	14291870
NM_138654	Sugct	-	16949309	17786599
NM_175006	Pou6f2	-	18216793	18473873
NM_001289546	Amph	+	19040219	19242788
NM_175007	Amph	+	19040219	19242788
NM_198093	Elmo1	+	20564858	20700222
NM_080288	Elmo1	+	20182375	20700222
NM_001170638	Slc17a1	+	23962141	23987599
NM_009198	Slc17a1	+	23962141	23987599
NM_001284519	Cmah	+	24419272	24569158
NM_029679	Fam65b	+	24730516	24825675
NM_001111110	Cmah	+	24419272	24569158
NM_001286100	Fam65b	+	24674057	24825675
NM_007717	Cmah	+	24506990	24569158
NM_001080381	Fam65b	+	24730516	24797870
NM_001284520	Cmah	+	24506990	24569158
NM_178658	Fam65b	+	24706474	24797870
NM_001286101	Fam65b	+	24706474	24797870
NM_001271379	Prl8a6	-	27524549	27530557
NM_011167	Prl8a6	-	27524549	27530557
NM_001271378	Prl8a6	-	27524549	27530557
NM_001316721	Prl8a9	-	27649865	27656475
NM_023332	Prl8a9	-	27649865	27656475
NM_010093	E2f3	-	29998443	30077932
NM_144536	Cdkal1	-	29417170	29947542
NM_001289920	E2f3	-	29998443	30076260
NM_134068	Dusp22	+	30751927	30803101
NM_001037955	Dusp22	+	30751927	30803101
NM_010225	Foxf2	+	31717684	31723275
NM_030215	Wrnip1	+	32893898	32914479
NM_020282	Nqo2	+	34056527	34080334
NM_001243192	Serpinb6a	-	34009786	34094663
NM_001163242	Nqo2	+	34059021	34080334
NM_001163241	Nqo2	+	34056527	34080334
NM_001163239	Nqo2	+	34056527	34080334
NM_025831	Pxdc1	-	34719709	34744550
NM_001123386	Cdyl	+	35833270	35965933
NM_024274	Fars2	+	36209511	36629464
NM_201358	Lyrm4	-	36070665	36209226
NM_009881	Cdyl	+	35751730	35965933
NM_001039189	Fars2	+	36209511	36629464
NM_001166391	F13a1	-	36959046	37142113
NM_010745	Ly86	+	37437213	37510905
NM_028784	F13a1	-	36959046	37141082
NM_026830	Rreb1	+	37917906	38027403
NM_001039188	Rreb1	+	37919261	38027403
NM_023842	Dsp	+	38243162	38290446
NM_001177869	Rreb1	+	37980739	38043871
NM_001177868	Rreb1	+	37918780	38027403
NM_024242	Riok1	+	38128857	38153302
NM_007556	Bmp6	+	38437584	38592183
NM_172143	Ofcc1	-	40097250	40383380
NM_001145802	Mak	-	41120488	41175075
NM_008547	Mak	-	41120488	41165834
NM_001111324	Nedd9	-	41405284	41582729
NM_008105	Gcnt2	+	40982126	41056261
NM_001145803	Mak	-	41120488	41175075
NM_133219	Gcnt2	+	41013002	41056261
NM_023887	Gcnt2	+	40955136	41056261
NM_019423	Elovl2	-	41277750	41315772
NM_017464	Nedd9	-	41405284	41454370
NM_001311121	Elovl2	-	41277750	41315531
NM_007772	Hivep1	+	42147389	42280395
NM_001081059	Mcur1	-	43633774	43655560
NM_001252640	Tbc1d7	-	43247108	43266870
NM_001252639	Tbc1d7	-	43247108	43266870
NM_025935	Tbc1d7	-	43247108	43266870
NM_019930	Ranbp9	-	43498041	43576342
NM_021878	Jarid2	+	44826142	45017012
