name	name2	strand	txStart	txEnd
NM_008984	Ptprm	-	67016187	67703799
NM_134126	Ift140	+	25153030	25236442
NM_001197046	Fgfr1op	+	8358382	8389335
NM_201230	Fgfr1op	+	8358382	8389335
NM_019919	Ltbp1	+	75404868	75792307
NM_134123	Scaf8	+	3114971	3198859
NM_001033178	Tmem181a	+	6270469	6308314
NM_001085355	Arid1b	+	4995073	5347656
NM_021881	Qk	-	10403044	10512226
NM_001317726	Park2	+	11033224	11750102
NM_001159517	Qk	-	10399335	10512226
NM_001159516	Qk	-	10403044	10512226
NM_016694	Park2	+	11033224	12256232
NM_008877	Plg	+	12571474	12612250
NM_001256493	2210404O09Rik	-	22016536	22046893
NM_001242427	Slc37a1	+	31433168	31487643
NM_027060	Btbd9	-	30352468	30713232
NM_011717	Wiz	-	32490994	32525895
NM_212438	Wiz	-	32490994	32524762
NM_172618	Btbd9	-	30352468	30713232
NM_153062	Slc37a1	+	31432427	31487643
NM_153166	Cpne5	-	29293465	29374735
NM_001163764	Tcf19	-	35649679	35653769
NM_001163763	Tcf19	-	35649679	35653769
NM_025674	Tcf19	-	35649679	35653769
NM_001286653	Rcan2	+	43940951	44176465
NM_009847	Cd2ap	-	42929899	43013373
NM_207649	Rcan2	+	43938799	44176465
NM_133685	Rab31	-	66001065	66122092
NM_008549	Man2a1	+	64950988	65104450
NM_007439	Alk	-	72218327	72953647
NM_008480	Lama1	+	68046604	68171985
NM_001286684	Slc8a1	-	81772444	82137727
NM_015800	Crim1	+	78599587	78775932
NM_001112798	Slc8a1	-	81772444	82137727
NM_011406	Slc8a1	-	81772444	82137727
NM_011104	Prkce	+	86567124	87057259
NM_177606	Plekhh2	+	84911234	85021482
NM_020252	Nrxn1	-	90432983	91492142
NM_177284	Nrxn1	-	90432983	91492142
NM_011878	Tiam2	+	3397206	3519397
NM_198958	Nox3	-	3635239	3696261
NM_001122998	Tiam2	+	3326572	3519397
NM_001113353	Synj2	+	5941279	6039390
NM_054040	Tulp4	+	6138147	6240637
NM_146073	Zdhhc14	+	5492599	5753891
NM_011523	Synj2	+	5975585	6044290
NM_001113352	Synj2	+	5941279	6039390
NM_001113351	Synj2	+	5975585	6044290
NM_001290698	Synj2	+	6007579	6039390
NM_001103181	Tulp4	+	6106829	6240637
NM_009510	Ezr	-	6942479	6987129
NM_145968	Tagap	+	8118864	8127762
NM_001033442	Gm1604b	-	8231374	8294093
NM_011299	Rps6ka2	+	7374463	7507664
NM_134114	Sft2d1	+	8503967	8520307
NM_001290707	Pde10a	+	8719665	9179513
NM_011866	Pde10a	+	8994609	9179513
NM_027032	Pacrg	-	10595877	11033057
NM_011948	Map3k4	-	12420486	12511526
NM_022315	Smoc2	+	14416512	14541797
NM_010806	Mllt4	+	13897547	14042801
NM_011581	Thbs2	-	14802506	14831269
NM_175173	Wdr27	-	14955678	15080129
NM_007690	Chd1	+	15841930	15909576
NM_025681	Lix1	+	17539649	17596351
NM_013843	Zfp53	+	21625951	21647441
NM_001163450	Mapk8ip3	-	25034450	25073922
NM_001163453	Mapk8ip3	-	25034450	25073922
NM_001163449	Mapk8ip3	-	25034450	25073922
NM_001163448	Mapk8ip3	-	25034450	25073922
NM_001080773	Pdpk1	-	24210646	24278561
NM_008743	Nthl1	+	24769626	24775783
NM_001163447	Mapk8ip3	-	25034450	25073922
NM_013855	Abca3	+	24488967	24547149
NM_001286662	Pdpk1	-	24210646	24287889
NM_001039581	Abca3	+	24488967	24547149
NM_013931	Mapk8ip3	-	25034450	25073922
NM_001163451	Mapk8ip3	-	25034450	25073922
NM_011062	Pdpk1	-	24210646	24278561
