name	name2	strand	txStart	txEnd
NM_001199265	Epb41l2	+	25079603	25243324
NM_013511	Epb41l2	+	25128173	25243324
NM_198007	Ascc3	+	50312474	50571008
NM_177475	Zfp280b	+	75495356	75505714
NM_001170785	Mthfd1l	-	6179459	6373466
NM_001079686	Syne1	+	5151833	5326342
NM_001170786	Mthfd1l	-	6190410	6373466
NM_172308	Mthfd1l	-	6190410	6373466
NM_172784	Lrp11	+	7309597	7345275
NM_016976	Grm1	-	10405856	10802129
NM_001114333	Grm1	-	10405856	10802129
NM_001198635	Map7	+	19868725	20001396
NM_001111065	Reps1	+	17775745	17844961
NM_009048	Reps1	+	17775745	17844961
NM_008635	Map7	+	19868725	20001396
NM_008983	Ptprk	+	27794625	28317203
NM_001025286	Nkain2	-	31670384	32609721
NM_008481	Lama2	-	26701091	27336748
NM_172495	Ncoa7	-	30365387	30522913
NM_001013411	Nkain2	-	31409124	32609721
NM_010681	Lama4	+	38685320	38829994
NM_001114332	Slc16a10	-	39753340	39862060
NM_028247	Slc16a10	-	39795207	39862060
NM_008229	Hdac2	+	36694349	36721694
NM_001111268	Grik2	-	48819268	49508560
NM_053069	Atg5	+	43988144	44084105
NM_010349	Grik2	-	48819268	49508560
NM_027772	Pdss2	+	42941291	43160054
NM_001168289	Pdss2	+	42941291	43184688
NM_001314013	Atg5	+	43988144	44084105
NM_178675	Slc35f1	+	52410306	52831428
NM_001164376	Ctnna3	+	62920258	64466415
NM_001164519	Ctnna3	+	63283802	64466415
NM_023370	Cdh23	-	59765497	60159238
NM_177612	Ctnna3	+	62892845	64466415
NM_013753	Pald1	-	60782404	60846271
NM_001252635	Cdh23	-	59765497	60159238
NM_001142740	Pcdh15	+	73284614	74097510
NM_001142738	Pcdh15	+	73284614	74097510
NM_001142743	Pcdh15	+	73284614	74107472
NM_001142742	Pcdh15	+	73284614	74107472
NM_001142760	Pcdh15	+	73284614	74112477
NM_001142748	Pcdh15	+	73284614	73970345
NM_170690	Ank3	+	68996455	69490184
NM_170689	Ank3	+	68996455	69490184
NM_027730	Rsph14	-	74420221	74495331
NM_001142739	Pcdh15	+	73284614	74097510
NM_001142736	Pcdh15	+	73284614	74097510
NM_001163534	Rsph14	-	74420221	74495298
NM_001163533	Rsph14	-	74420221	74495331
NM_001142747	Pcdh15	+	73284614	73970345
NM_170688	Ank3	+	68996455	69490184
NM_170728	Ank3	+	68996455	69490184
NM_001142737	Pcdh15	+	73284614	74097510
NM_001142741	Pcdh15	+	73284614	74097510
NM_001163535	Rsph14	-	74420221	74495298
NM_001142735	Pcdh15	+	73284614	74097510
NM_001142746	Pcdh15	+	73284614	74112477
NM_170729	Ank3	+	68996455	69490184
NM_023115	Pcdh15	+	73284614	74097510
NM_170730	Ank3	+	68996455	69490184
NM_146005	Ank3	+	68996455	69490184
NM_009929	Col18a1	-	76514923	76629275
NM_001282095	Tjp3	-	80735932	80754326
NM_001282096	Tjp3	-	80735932	80748526
NM_001109991	Col18a1	-	76514923	76576450
NM_013769	Tjp3	-	80735932	80754012
NM_008777	Pah	+	86984539	87046882
NM_001310704	Scyl2	-	89102851	89149030
NM_001177397	Anks1b	+	90038471	90435729
NM_198021	Scyl2	-	89102851	89149030
NM_001128086	Anks1b	+	89336253	90435729
NM_181398	Anks1b	+	90039435	90435729
NM_028709	Btbd11	+	84849558	85123037
NM_001177398	Anks1b	+	90039435	90435729
NM_001177396	Anks1b	+	90039435	90435729
NM_018797	Plxnc1	-	94253611	94407212
NM_001001932	Eea1	+	95403296	95508152
NM_019648	Metap2	-	93321234	93353947
NM_001162369	Mgat4c	+	101621712	101854102
NM_001162368	Mgat4c	+	101621491	101854102
NM_009306	Syt1	-	107934705	108448031
NM_001205098	Mgat4c	+	101144120	101854102
NM_177368	Tmtc2	-	104624719	105011535
NM_001252342	Syt1	-	107934705	108448031
NM_001252341	Syt1	-	107934705	108448031
NM_080446	Helb	-	119520663	119550021
NM_001168292	R3hdm2	+	126827366	126936440
NM_001114096	Smarcc2	+	127896291	127927230
NM_027900	R3hdm2	+	126857922	126936440
NM_001114097	Smarcc2	+	127896291	127927230
NM_001168293	R3hdm2	+	126857922	126936440
NM_198160	Smarcc2	+	127896291	127927230
NM_001304948	Oprm1	-	3505160	3557971
NM_001304955	Oprm1	-	3308331	3557971
NM_001302795	Oprm1	-	3308331	3587948
NM_001302794	Oprm1	-	3495968	3587948
NM_001302793	Oprm1	-	3495968	3557971
NM_001170802	Ipcef1	+	3366075	3428987
NM_001170801	Ipcef1	+	3366075	3428987
NM_001170800	Ipcef1	+	3366075	3460176
NM_001304937	Oprm1	-	3515901	3557971
NM_001033391	Ipcef1	+	3323355	3434998
NM_001039652	Oprm1	-	3308331	3557965
NM_001304950	Oprm1	-	3308331	3557971
NM_001302796	Oprm1	-	3308331	3587948
NM_001304938	Oprm1	-	3505160	3557971
NM_153399	Syne1	+	4795848	5009592
NM_019958	Rgs17	+	4424140	4520877
NM_001161822	Rgs17	+	4424140	4520877
NM_031185	Akap12	-	5987069	6080212
NM_001302533	Esr1	-	5379204	5636383
NM_007956	Esr1	-	5340907	5734552
NM_001302532	Esr1	-	5340907	5734552
NM_001302531	Esr1	-	5340907	5636383
NM_024261	Armt1	-	5891400	5913936
NM_001159942	Plekhg1	-	6379238	6606164
NM_001033253	Plekhg1	-	6379238	6473874
NM_177387	Ust	-	7924550	8238623
NM_011835	Katna1	+	7445797	7482948
NM_175155	Sash1	-	8442016	8605868
NM_001127353	Adgb	-	10055500	10192112
NM_001081344	Stxbp5	-	9475344	9620838
NM_027968	Fbxo30	+	11001127	11017767
NM_172937	Shprh	+	10869227	10929413
NM_001077707	Shprh	+	10869227	10935071
NM_001168297	Fbxo30	+	11001384	11017767
NM_001284354	Shprh	+	10869227	10929409
NM_010146	Epm2a	+	11063242	11177275
NM_011682	Utrn	-	12101985	12581533
NM_001195096	Phactr2	-	12927522	13043966
NM_001195066	Phactr2	-	12927522	13108776
NM_001195065	Phactr2	-	12927522	13194202
NM_001033257	Phactr2	-	12927522	13043966
NM_010437	Hivep2	+	13686184	13871184
NM_025418	Vta1	-	14375138	14425295
NM_001002268	Adgrg6	-	14122390	14264842
NM_138628	Txlnb	+	17516024	17565469
NM_001163592	Nhsl1	+	18189786	18253697
NM_173390	Nhsl1	+	18127480	18253697
NM_008580	Map3k5	+	19654331	19862556
NM_026203	Ahi1	+	20672352	20800235
NM_001025393	Bclaf1	+	20032274	20062307
NM_001025392	Bclaf1	+	20032274	20062307
NM_153787	Bclaf1	+	20032274	20062307
NM_013875	Pde7b	-	20117809	20444874
NM_001161845	Sgk1	+	21601989	21719708
NM_178713	Aldh8a1	+	21097105	21116384
NM_178934	Slc2a12	+	22364816	22423686
NM_008813	Enpp1	-	24357719	24431965
NM_134005	Enpp3	-	24493619	24556001
NM_007482	Arg1	-	24635012	24647276
NM_001308327	Enpp1	-	24357719	24431965
NM_001308329	Enpp1	-	24357719	24431965
NM_018747	Akap7	-	24888895	25018969
NM_001013766	Samd3	+	25949512	25980610
NM_001115154	Samd3	+	25949512	25991978
NM_028351	Rspo3	-	29172912	29255673
NM_178666	Themis	+	28388165	28603624
NM_026336	2310057J18Rik	-	28692093	28706112
NM_001305663	Themis	+	28388165	28603624
NM_028604	Trmt11	-	30254030	30320555
NM_001146349	Rnf217	-	31221692	31329531
NM_001159544	Frk	+	34203205	34331036
NM_001162937	Trappc3l	+	33757402	33829621
NM_010237	Frk	+	34203205	34331036
NM_001081208	Hs3st5	+	36226612	36554200
NM_001253356	Hs3st5	+	36226612	36554200
NM_001253355	Hs3st5	+	36226612	36554200
NM_011264	Rev3l	+	39451965	39595011
NM_001122893	Fyn	+	39089604	39285180
NM_008054	Fyn	+	39089604	39285180
NM_001122892	Fyn	+	39089604	39285180
NM_001316718	Ddo	+	40349816	40394721
NM_001168304	Cdk19	+	40069113	40203624
NM_198164	Cdk19	+	40069113	40203624
NM_001316716	Ddo	+	40349816	40394721
NM_001316717	Ddo	+	40349816	40394721
NM_031877	Wasf1	+	40603339	40658375
NM_001291817	Cdk19	+	40069113	40203624
